Bus,Bus 01,Bus 02,Bus 03,Bus 04,Bus 05,Bus 06,Bus 07,Bus 08,Bus 09,Bus 10,Bus 11,Bus 12,Bus 13,Bus 14,Bus 15,Bus 16,Bus 17,Bus 18,Bus 19,Bus 20,Bus 21,Bus 22,Bus 23,Bus 24,Bus 25,Bus 26,Bus 27,Bus 28,Bus 29,Bus 30,Bus 31,Bus 32,Bus 33,Bus 34,Bus 35,Bus 36,Bus 37,Bus 38,Bus 39
Bus 28,(0.03860045616505931-0.034903916648666065j),(0.10435506689632791-0.079059571701318j),(0.030038114318102094-0.06443462986394485j),(-0.0029919393593149145-0.018238022495843303j),(-0.00389437886886261-0.00933007983829444j),(-0.003881260983902405-0.008753703577812137j),(-0.00470525825579832-0.004625211395562846j),(-0.004738354567655637-0.0040208290903058315j),(-0.002786733527802854-0.00639699760145253j),(-0.0029638253418529117-0.010940362120585176j),(-0.0030260653376896775-0.010754985051356242j),(-0.0029495821162699347-0.010876474900817112j),(-0.0029011678832995508-0.011124858612242544j),(-0.002553620646160882-0.015466921139620638j),(-0.0010628817873503758-0.020135880184021494j),(0.010061384409844887-0.03057901981032702j),(0.07311476865936885-0.061075814109091575j),(0.044168895145430834-0.06528222956268633j),(-0.005342280520026287-0.009378481690825766j),(-0.0059789476685828714-0.00870268028761112j),(-0.00316499727411842-0.017725165628774176j),(-0.005943023071497529-0.01462758221386294j),(-0.007846536851765796-0.012500766579283534j),(-0.0017720964199070856-0.028431009033574282j),(0.16044255441305355-0.09660977100798702j),(0.5927103038870367+0.0036795404606305704j),(0.2567633249441711-0.11145632776145165j),(1.9106389566348954+1.2428288434742767j),(1.4201709533604034+0.046366071689284416j),(0.10435506689632794-0.07905957170131804j),(-0.0038921997815771015-0.008740401146496947j),(-0.0029638253418529134-0.010940362120585174j),(-0.005342280520026289-0.009378481690825762j),(-0.0059789476685828714-0.00870268028761112j),(-0.005943023071497528-0.01462758221386294j),(-0.007846536851765794-0.012500766579283533j),(0.16044255441305358-0.09660977100798704j),(1.4201709533604037+0.046366071689284416j),(-0.001439520603004589-0.008035184029231725j)
Bus 29,(0.030482730983272976-0.0370251483583509j),(0.08447259475526984-0.0861463675183652j),(0.018694653051561615-0.06279181015194281j),(-0.005187027563762368-0.01622300290473215j),(-0.004808458360111273-0.007980485693551793j),(-0.004718773226358741-0.007456808118258057j),(-0.00491321882785548-0.0035819983468409j),(-0.004861887603601206-0.0030265572463524554j),(-0.0034031501724797186-0.005455946006083443j),(-0.0041772825360034994-0.009573968822165352j),(-0.00420902413752197-0.009396578737227577j),(-0.004155682451946948-0.009517647546650741j),(-0.004145041610571909-0.009750612435343078j),(-0.004413746734848273-0.013755870107711446j),(-0.0036843579500029392-0.018213302523715915j),(0.00504865295049034-0.02923381315697435j),(0.05841792120648745-0.06553882432047148j),(0.03146250965865657-0.06547009993461243j),(-0.006134947854143638-0.007829356027289567j),(-0.006624223693394913-0.007127412900627765j),(-0.005275633199419302-0.015732125566926006j),(-0.007390467364911731-0.01253362388963407j),(-0.008838974498632008-0.010338042150036773j),(-0.005449532398163304-0.02567981806904278j),(0.133237379993611-0.10970939349099824j),(0.540833503863018-0.0765746637981985j),(0.21904495529188756-0.1362332758522808j),(1.4201709533604032+0.04636607168928464j),(1.9454368150050918+0.9427055580129842j),(0.08447259475526986-0.08614636751836524j),(-0.004726951571524666-0.0074432059794198166j),(-0.0041772825360035-0.00957396882216535j),(-0.006134947854143638-0.007829356027289566j),(-0.006624223693394912-0.007127412900627765j),(-0.007390467364911733-0.01253362388963407j),(-0.008838974498632007-0.010338042150036773j),(0.13323737999361102-0.10970939349099826j),(1.945436815005092+0.9427055580129842j),(-0.0023958947322412446-0.0071310556053818044j)
Bus 30,(0.456206442717556+0.6308070452280035j),(1.005333474518311+1.6767738366303242j),(0.6389369534652302+0.3857090166340219j),(0.17406697891450423-0.006942696697036562j),(0.08588978454108023-0.028036398861179486j),(0.07833493210130979-0.02943006900829776j),(0.044978579975628485-0.03970552932027126j),(0.04129857584931144-0.0404677665057699j),(0.08914211929894142-0.02013470002191727j),(0.08628940706511354-0.02357050836050659j),(0.08541501211266488-0.023902932584408537j),(0.08578546174122234-0.023457048878783415j),(0.08715685963581252-0.02323477508120615j),(0.11067735274701143-0.02202946550379716j),(0.05457688732273152-0.0447892404899423j),(0.07577090623141501-0.0425691522373531j),(0.2380069681809573+0.014204943226099241j),(0.3826866286925827+0.09221238375487611j),(0.006451928281423231-0.02841617511649317j),(0.003952172226459505-0.028230477450681545j),(0.02600059465357577-0.04107266914531779j),(0.014821998172261232-0.0399660239903541j),(0.007154472270115947-0.03919910274521052j),(0.04828657800411726-0.05985761276739237j),(1.024041044600784+0.9384687789671174j),(0.37811293902175813+0.09120270136206467j),(0.2480828835143798-0.040026473836604154j),(0.10435506689632787-0.07905957170131797j),(0.08447259475526982-0.0861463675183652j),(1.0053334745183113+1.8577725877389426j),(0.07822441482272816-0.02953223661027208j),(0.08628940706511354-0.02357050836050659j),(0.006451928281423224-0.02841617511649316j),(0.003952172226459504-0.02823047745068154j),(0.014821998172261232-0.03996602399035411j),(0.007154472270115941-0.03919910274521051j),(1.024041044600784+0.9384687789671174j),(0.08447259475526986-0.08614636751836521j),(0.12210732806963293-0.006084460830303236j)
Bus 31,(0.05249489791208645-0.0282098324898395j),(0.07822441482272813-0.029532236610272072j),(0.1408913075244839-0.015112757294647755j),(0.3847678870004388+0.21710322064753979j),(0.5660708497081726+0.7963195207699518j),(0.6071687705261372+1.029935819618987j),(0.5802728254286683+0.4317794199064981j),(0.5475510641443704+0.29691375916275914j),(0.24511253305304354+0.10480842640048385j),(0.4548591484333694+0.6864552193284955j),(0.46003274735013366+0.7064381605368198j),(0.4524142360549462+0.6823764377696682j),(0.44963660302051506+0.6664211226653891j),(0.3600898367366615+0.38110181589042486j),(0.12603924516515652+0.04416356816917378j),(0.04985173367786534-0.01636506438107807j),(0.05553768395562765-0.024688132278072907j),(0.07874894069142754-0.0312169400505651j),(0.007140262300670293-0.016077766037878558j),(0.005637935879191197-0.016259719025835718j),(0.020197339235179284-0.02129130613146691j),(0.013446862884019164-0.0219413633535463j),(0.008815716663000815-0.022382588904114223j),(0.03559150161281293-0.02981512020775713j),(0.04790157107213495-0.038016872599914604j),(0.012774106784051808-0.02539332844729348j),(0.017613734588223375-0.027094189357422006j),(-0.003892199781577099-0.008740401146496943j),(-0.004726951571524664-0.007443205979419813j),(0.07822441482272816-0.029532236610272086j),(0.6086156405673131+1.2029871111849408j),(0.45485914843336933+0.6864552193284954j),(0.007140262300670289-0.016077766037878548j),(0.005637935879191199-0.016259719025835718j),(0.013446862884019167-0.021941363353546305j),(0.008815716663000807-0.02238258890411422j),(0.04790157107213495-0.03801687259991461j),(-0.0047269515715246645-0.007443205979419815j),(0.03681513850837531-0.02739443932326602j)
Bus 32,(0.048743362924920874-0.022807312858875495j),(0.08628940706511357-0.023570508360506594j),(0.15433169828374033-0.0018313797283437683j),(0.3818994144055725+0.27138104802580015j),(0.4343834490684245+0.5480735520763764j),(0.4541201189923132+0.687740135796742j),(0.41966809848588993+0.2784148791022971j),(0.39520858396285896+0.18864981243994378j),(0.1765005132260663+0.06366645238463611j),(0.6170254546933809+1.9369952000064456j),(0.5423413514230021+1.5059522257393434j),(0.5381194898713929+1.505022564995768j),(0.5392788807124957+1.5217223387371486j),(0.4108413844823777+0.7993725384183367j),(0.1832633883991659+0.13592944468805873j),(0.08250450402407529+0.0006906674217392397j),(0.07841203731417606-0.015230855492210378j),(0.09804957131335046-0.023680032216361172j),(0.018724510368196293-0.020362957787916962j),(0.01657771859785818-0.021389640928132704j),(0.040800292274136285-0.0215635348872558j),(0.031069754015950135-0.025927191911810657j),(0.02439175808339304-0.028913798383061757j),(0.06802297727157058-0.026520630568352722j),(0.055376988187919814-0.036107881243782336j),(0.019579099649227914-0.027397674165587933j),(0.02902308763720724-0.02835659985095318j),(-0.002963825341852911-0.01094036212058518j),(-0.004177282536003498-0.009573968822165354j),(0.08628940706511361-0.023570508360506608j),(0.4548591484333695+0.6864552193284958j),(0.6170254546933809+2.0969952000064453j),(0.018724510368196286-0.020362957787916955j),(0.016577718597858185-0.021389640928132704j),(0.03106975401595015-0.025927191911810664j),(0.024391758083393028-0.02891379838306175j),(0.055376988187919814-0.03610788124378234j),(-0.0041772825360034994-0.009573968822165357j),(0.025874959669085772-0.02233875788574349j)
Bus 33,(0.0012096438777888375-0.011692419308212246j),(0.006451928281423223-0.028416175116493154j),(0.019554000108738073-0.039239430551584194j),(0.007651184672195505-0.02376269839709964j),(0.005879185449801823-0.016198049852089443j),(0.007171895336060729-0.01607921281361803j),(7.681453621130672e-05-0.011242019355566268j),(-0.001235470147737105-0.010091528193591584j),(-0.0016802854747053001-0.005010170582225122j),(0.018724510368196286-0.020362957787916948j),(0.017860001380478583-0.020079146088635896j),(0.01861117705199573-0.02025037193232809j),(0.01958774518778339-0.020644761186481213j),(0.035709735168855804-0.02947243615578596j),(0.1175785106480339-0.05802497613299004j),(0.23024006049522328-0.029400362150648538j),(0.12748604693890667-0.039826877505299396j),(0.07463859965718263-0.04816486237946558j),(1.1541252326786993+0.6274562054841375j),(1.1766365802841858+0.516716801651608j),(0.1055417836972578-0.07559862689988942j),(0.07676151167796658-0.08406761560050738j),(0.057012915531192095-0.08985713278414499j),(0.17954174452612695-0.09975231636036944j),(8.626293682953033e-05-0.025747081632537968j),(0.011513096109876086-0.0299279693456571j),(0.03926393345777661-0.04251611884090881j),(-0.005342280520026283-0.009378481690825762j),(-0.006134947854143633-0.007829356027289567j),(0.006451928281423229-0.028416175116493175j),(0.007140262300670291-0.016077766037878555j),(0.018724510368196286-0.020362957787916948j),(1.159725336038108+0.7410558997568367j),(1.1766365802841858+0.5167168016516082j),(0.07676151167796662-0.08406761560050743j),(0.057012915531192074-0.08985713278414495j),(8.626293682952686e-05-0.02574708163253797j),(-0.006134947854143636-0.007829356027289567j),(-0.001984833508950067-0.0015119909479536005j)
Bus 34,(0.0002174981686225855-0.011497153995308988j),(0.0039521722264595025-0.028230477450681527j),(0.015833787991880226-0.039858480007311764j),(0.005503925362542354-0.023792943654077938j),(0.004398756594049423-0.016273252393118942j),(0.005668652488414019-0.016263731012856053j),(-0.0008497302712535655-0.010964937736863375j),(-0.0020343106445176442-0.009735519379435321j),(-0.002049992547970292-0.004745673187240472j),(0.016577718597858178-0.021389640928132694j),(0.01575834526554908-0.021041881621988626j),(0.016476502002337967-0.02127057205717585j),(0.017396015056666235-0.021735337765751053j),(0.032385548094573335-0.03166644176198368j),(0.10984217400259952-0.06623256216967341j),(0.2220178996852179-0.047595478583759815j),(0.12099666829884556-0.04930807097656895j),(0.06879568478048398-0.05308938584528942j),(1.1766365802841858+0.5167168016516082j),(1.2076454905032161+0.5408627250034346j),(0.09666352185372042-0.0823732302667262j),(0.06791223133224691-0.08826166955028888j),(0.04818531295487299-0.09228100095056814j),(0.16681148430758885-0.11200421385640424j),(-0.002033499885920385-0.0251051199929721j),(0.008761414763957472-0.030120420544400603j),(0.034777361284629806-0.044673624882194674j),(-0.005978947668582866-0.008702680287611116j),(-0.006624223693394909-0.007127412900627765j),(0.003952172226459508-0.028230477450681545j),(0.005637935879191196-0.016259719025835718j),(0.016577718597858178-0.021389640928132694j),(1.1766365802841854+0.5167168016516079j),(1.213045355936044+0.6488623722764603j),(0.06791223133224694-0.08826166955028893j),(0.04818531295487296-0.09228100095056811j),(-0.0020334998859203885-0.025105119992972103j),(-0.00662422369339491-0.0071274129006277664j),(-0.0020591528187986633-0.0013106311377234382j)
Bus 35,(0.0040031872130823236-0.016722815300772922j),(0.014821998172261227-0.03996602399035408j),(0.03590353031001538-0.053140919400303056j),(0.015665970597558806-0.03298721393356663j),(0.011641278157665802-0.02235835970770076j),(0.013493013088264501-0.021937376711769242j),(0.002273805979890623-0.016287579224156436j),(0.0001495283918193993-0.014871640496430978j),(-0.0014729151672223384-0.007588587908554791j),(0.03106975401595013-0.025927191911810643j),(0.029761514782749833-0.02568191821732732j),(0.030883750309543122-0.025785727926696693j),(0.03237575924476203-0.026169798403100426j),(0.057452703746034665-0.035869964237490594j),(0.18166493008033185-0.061527218607325365j),(0.33953249628271737+0.001652680608223392j),(0.1925316900072089-0.03323194057880187j),(0.11750000636747433-0.05548834300663731j),(0.07676151167796663-0.0840676156005074j),(0.06791223133224696-0.0882616695502889j),(0.7676666685182705+0.5411328103856186j),(1.1816083843588931+1.8811455713956624j),(1.1250760980240533+0.9105600688706127j),(0.46393380788796285-0.01781436312484662j),(0.005077572516456925-0.037319942690667705j),(0.022452129077080288-0.041184796093291745j),(0.06511570940123881-0.05410130520289634j),(-0.0059430230714975244-0.014627582213862934j),(-0.007390467364911725-0.012533623889634067j),(0.014821998172261229-0.03996602399035411j),(0.013446862884019164-0.0219413633535463j),(0.03106975401595013-0.025927191911810643j),(0.07676151167796659-0.08406761560050738j),(0.06791223133224696-0.08826166955028891j),(1.1816083843588934+1.9955450314302117j),(1.1250760980240533+0.9105600688706122j),(0.005077572516456921-0.0373199426906677j),(-0.007390467364911729-0.012533623889634072j),(-0.002587427276097505-0.0025743637073722073j)
Bus 36,(0.0009695124837989597-0.016044847885636947j),(0.007154472270115942-0.03919910274521048j),(0.02442219259154819-0.05475128679369812j),(0.009064764273267736-0.03291158899977758j),(0.007085806814711604-0.022473245111954004j),(0.008858849175218867-0.022386413574792922j),(-0.000551844813386335-0.01536332878598386j),(-0.0022774727091544374-0.013714861174991901j),(-0.0025883126988622343-0.006746725714119784j),(0.024391758083393018-0.028913798383061733j),(0.02322724738533699-0.028475548061325143j),(0.02424349973129953-0.028753362409923634j),(0.025554645343893945-0.029349230525084487j),(0.04706476343771029-0.042351485248529996j),(0.1572457268559967-0.08614294321570956j),(0.3128362048469179-0.05361799889202487j),(0.1718445793744527-0.06185953493632187j),(0.09915729666904566-0.07016339659046056j),(0.057012915531192095-0.08985713278414494j),(0.048185312954872994-0.09228100095056811j),(0.6290271791853119+0.16711756420595902j),(1.125076098024053+0.910560068870612j),(1.465010613557828+1.4202680255937035j),(0.4965635064125933-0.001554409471585888j),(-0.0013863608883081004-0.03518068942747743j),(0.013980714104399054-0.04156020218617812j),(0.05115846053995689-0.06037940359640447j),(-0.007846536851765791-0.012500766579283529j),(-0.008838974498632001-0.010338042150036768j),(0.0071544722701159455-0.039199102745210504j),(0.008815716663000808-0.022382588904114216j),(0.024391758083393018-0.028913798383061733j),(0.057012915531192074-0.08985713278414492j),(0.048185312954872994-0.09228100095056811j),(1.1250760980240533+0.9105600688706122j),(1.4685101650281125+1.6106690109246586j),(-0.0013863608883081004-0.03518068942747743j),(-0.008838974498632005-0.010338042150036772j),(-0.002800013070626951-0.001949721983109253j)
Bus 37,(0.4383150706293289+0.33725179079567713j),(1.0240410446007844+0.9384687789671178j),(0.5232462616577284+0.12789195751401078j),(0.11873063211709445-0.04329225968228567j),(0.053426434466237294-0.0385943600090674j),(0.0480013387523147-0.037970354769226j),(0.022451242665971073-0.03753820909853632j),(0.01967354766393204-0.03716078495518081j),(0.056478467498505144-0.032276686832894766j),(0.05537698818791982-0.03610788124378235j),(0.0546539883968015-0.03611766366753232j),(0.05504810196320984-0.0359140286337417j),(0.056095852292218626-0.03609419984809398j),(0.07343515770102735-0.04110272970450041j),(0.03450095479686932-0.04815923311400447j),(0.05713246696206488-0.051312669287395654j),(0.21169204528027025-0.03455776208984579j),(0.3096387745083904-0.018691312870477345j),(8.626293682952556e-05-0.02574708163253799j),(-0.0020334998859203885-0.025105119992972116j),(0.014503643167439458-0.04042890848337512j),(0.005077572516456925-0.037319942690667726j),(-0.0013863608883081073-0.03518068942747747j),(0.030100158531775008-0.06092296226470274j),(1.4316512163023845+1.5260006315095438j),(0.5239878462031968+0.1871461079965973j),(0.3054521924733294-0.035449125012492116j),(0.1604425544130536-0.09660977100798705j),(0.13323737999361102-0.10970939349099829j),(1.0240410446007848+0.9384687789671182j),(0.04790157107213497-0.03801687259991463j),(0.055376988187919814-0.03610788124378235j),(8.626293682952382e-05-0.025747081632537982j),(-0.002033499885920392-0.025105119992972116j),(0.005077572516456918-0.03731994269066773j),(-0.0013863608883081073-0.035180689427477464j),(1.435850116426704+1.6884012092279514j),(0.13323737999361107-0.10970939349099833j),(0.08184612862297737-0.0288843232356926j)
Bus 38,(0.030482730983272976-0.037025148358350905j),(0.08447259475526984-0.08614636751836523j),(0.018694653051561615-0.06279181015194281j),(-0.005187027563762369-0.016223002904732154j),(-0.004808458360111274-0.007980485693551795j),(-0.0047187732263587415-0.007456808118258058j),(-0.004913218827855481-0.003581998346840901j),(-0.004861887603601207-0.003026557246352455j),(-0.003403150172479719-0.005455946006083443j),(-0.0041772825360035-0.009573968822165354j),(-0.004209024137521971-0.00939657873722758j),(-0.004155682451946949-0.009517647546650741j),(-0.004145041610571911-0.00975061243534308j),(-0.004413746734848273-0.01375587010771145j),(-0.00368435795000294-0.01821330252371592j),(0.0050486529504903364-0.029233813156974358j),(0.058417921206487464-0.06553882432047149j),(0.03146250965865658-0.06547009993461245j),(-0.0061349478541436395-0.007829356027289569j),(-0.006624223693394912-0.0071274129006277664j),(-0.005275633199419303-0.015732125566926006j),(-0.007390467364911732-0.012533623889634075j),(-0.00883897449863201-0.010338042150036777j),(-0.005449532398163306-0.025679818069042785j),(0.133237379993611-0.10970939349099826j),(0.5408335038630181-0.07657466379819852j),(0.21904495529188756-0.13623327585228082j),(1.4201709533604037+0.04636607168928453j),(1.945436815005092+0.9427055580129842j),(0.08447259475526986-0.08614636751836525j),(-0.004726951571524667-0.007443205979419817j),(-0.004177282536003501-0.009573968822165352j),(-0.006134947854143639-0.007829356027289566j),(-0.006624223693394912-0.0071274129006277664j),(-0.007390467364911734-0.012533623889634075j),(-0.008838974498632008-0.010338042150036773j),(0.13323737999361102-0.10970939349099829j),(1.9534376774155873+1.0987065148146233j),(-0.0023958947322412455-0.007131055605381806j)
Bus 39,(0.5357536051635539+0.16459629302550247j),(0.12210732806963286-0.006084460830303236j),(0.040752569107431094-0.028817332923493776j),(0.014989288092683652-0.0252025265634305j),(0.03786558914965936-0.02740584867717867j),(0.03688887955783238-0.02735721956697217j),(0.045918885097161424-0.03240607964470436j),(0.06209373983428646-0.029535529267553626j),(0.4914640111452068+0.1468027585053876j),(0.025874959669085755-0.022338757885743486j),(0.02649802449449763-0.022477293270987127j),(0.025719860570984424-0.02221663968072135j),(0.0252500457332792-0.022197938078868915j),(0.01662901443633666-0.02055761949306301j),(0.0008734380516950933-0.009213267826751003j),(-0.0006254308708711345-0.007415550141736283j),(0.007264719631165442-0.014848356125365402j),(0.015860114995671408-0.021349581187061754j),(-0.001984833508950067-0.0015119909479536001j),(-0.0020591528187986637-0.001310631137723438j),(-0.002276602468253073-0.0034846308210251097j),(-0.002587427276097505-0.0025743637073722065j),(-0.0028000130706269523-0.0019497219831092535j),(-0.0029486333923554845-0.005888217357328632j),(0.08184612862297733-0.028884323235692577j),(0.01576701645347921-0.01842710379003009j),(0.004465406743037432-0.015578179441494321j),(-0.0014395206030045874-0.008035184029231722j),(-0.0023958947322412424-0.0071310556053818044j),(0.12210732806963288-0.006084460830303243j),(0.03681513850837529-0.02739443932326603j),(0.025874959669085755-0.022338757885743486j),(-0.001984833508950067-0.0015119909479535997j),(-0.0020591528187986637-0.0013106311377234377j),(-0.002587427276097505-0.0025743637073722065j),(-0.0028000130706269514-0.001949721983109253j),(0.08184612862297734-0.02888432323569259j),(-0.0023958947322412433-0.007131055605381805j),(0.7871213896522488+0.26854466629595397j)
